GS_PCT,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,ALL_STAR,ALL_NBA
0.37,18.1,3.0,7.0,2.7,6.0,0.3,1.0,1.2,2.0,0.5,1.3,1.8,3.5,0.9,0.2,1.7,1.8,7.6,.432,.447,.344,.456,.611,0,0
0.17,16.8,1.9,4.0,1.9,4.0,0.0,0.0,2.4,3.2,1.1,1.7,2.8,1.0,0.5,0.2,1.1,1.7,6.3,.473,.477,.000,.473,.770,0,0
0.05,5.3,0.7,1.2,0.7,1.2,0.0,0.0,0.5,0.7,0.5,0.6,1.0,0.1,0.2,0.0,0.2,0.8,1.9,.558,.566,.200,.560,.759,0,0
0.15,9.0,1.2,2.9,1.2,2.9,0.0,0.0,0.3,0.5,0.8,1.7,2.5,0.4,0.1,0.5,0.5,1.5,2.7,.404,.408,.125,.405,.638,0,0
0.6,28.6,4.7,11.3,2.8,6.4,1.9,4.9,1.5,1.9,0.6,2.2,2.8,2.1,0.8,0.3,1.2,2.0,12.9,.417,.431,.397,.502,.793,0,0
0.68,29.7,4.9,11.4,4.8,11.1,0.1,0.3,2.9,3.7,1.8,4.5,6.2,3.3,1.1,0.8,2.2,2.4,12.8,.433,.436,.305,.437,.771,0,0
0.19,16.0,2.2,5.2,2.0,4.3,0.3,0.9,0.8,1.1,0.7,0.9,1.6,1.9,0.7,0.2,1.0,1.6,5.5,.431,.455,.307,.456,.690,0,0
0.63,19.2,1.9,3.9,1.9,3.9,0.0,0.0,1.5,2.3,2.1,3.3,5.4,0.3,0.4,0.8,1.0,3.3,5.2,.484,.484,.000,.484,.658,0,0
0.51,24.7,4.4,8.8,4.4,8.7,0.0,0.1,1.2,1.7,2.2,4.9,7.1,0.9,0.7,0.3,1.2,2.4,10.1,.504,.508,.244,.506,.718,0,0
0.21,16.5,2.6,5.7,2.3,4.8,0.3,1.0,1.3,2.1,1.0,1.5,2.6,2.2,0.7,0.3,1.0,2.3,6.8,.455,.480,.333,.483,.613,0,0
0.43,12.1,1.2,2.4,1.2,2.4,0.0,0.0,0.5,0.8,0.9,2.1,3.0,0.3,0.1,1.1,0.8,1.9,2.8,.477,.477,0,.477,.598,0,0
0.33,20.6,2.9,6.5,2.9,6.5,0.0,0.1,1.6,2.6,3.3,4.2,7.5,0.6,0.4,0.6,1.1,2.7,7.3,.440,.442,.125,.440,.606,1,0
0.03,11.2,2.1,4.1,2.1,4.1,0.0,0.1,0.6,0.9,1.2,1.5,2.7,0.6,0.3,0.6,0.5,1.4,4.8,.511,.518,.000,.511,.680,0,0
0.36,16.4,2.1,4.6,2.1,4.5,0.0,0.1,0.9,1.2,1.7,3.0,4.7,0.6,0.5,0.6,0.7,2.6,5.1,.467,.472,.111,.468,.721,0,0
0.01,8.4,1.4,3.4,1.3,3.1,0.1,0.3,0.5,0.6,0.5,0.6,1.1,0.4,0.2,0.2,0.4,0.9,3.4,.415,.426,.317,.431,.779,0,0
0.54,20.1,3.8,7.4,3.8,7.2,0.1,0.2,1.1,1.8,1.6,3.3,4.8,0.9,0.5,0.6,1.3,2.5,8.9,.518,.525,.286,.522,.634,0,0
0.81,30.1,4.7,11.1,4.0,9.2,0.6,1.8,2.6,3.3,0.8,2.3,3.1,6.1,1.5,0.1,2.1,2.3,12.6,.421,.436,.346,.449,.790,1,0
0.3,20.9,2.5,6.3,1.7,4.0,0.8,2.3,1.4,1.9,0.4,1.5,1.9,4.0,1.2,0.1,1.4,1.7,7.3,.403,.434,.349,.467,.733,0,0
0.47,21.6,3.0,6.5,3.0,6.4,0.0,0.1,1.9,2.6,1.3,1.9,3.2,1.6,1.0,0.3,1.2,1.7,8.0,.469,.473,.152,.470,.728,0,0
0.38,19.3,3.0,6.7,3.0,6.6,0.0,0.1,1.6,2.4,1.4,3.3,4.7,1.2,0.5,0.5,1.6,2.2,7.6,.446,.451,.176,.448,.670,0,0
0.0,9.1,0.8,2.6,0.8,2.3,0.0,0.3,0.5,0.7,0.4,1.4,1.8,1.3,0.4,0.1,0.7,1.4,2.2,.329,.360,.100,.335,.696,0,0
0.36,18.9,2.7,6.2,2.3,4.9,0.4,1.3,1.2,1.5,1.2,2.9,4.0,0.6,0.4,0.5,0.9,2.1,7.0,.438,.470,.319,.472,.795,0,0
0.66,29.8,5.4,12.0,4.9,10.5,0.5,1.5,2.5,2.8,0.6,2.4,3.0,6.1,1.6,0.3,2.0,1.8,13.8,.448,.462,.355,.471,.873,2,0
0.02,8.2,1.4,3.4,1.3,2.9,0.1,0.5,0.5,0.6,0.3,0.8,1.1,0.4,0.1,0.0,0.5,0.7,3.3,.401,.434,.200,.415,.859,0,0
0.26,17.6,1.9,4.7,1.9,4.5,0.0,0.2,0.9,1.3,0.5,1.3,1.8,2.2,1.1,0.2,1.1,1.9,4.8,.417,.426,.200,.421,.691,0,0
0.09,14.4,1.8,4.1,1.5,3.2,0.3,0.8,0.4,0.5,1.1,2.2,3.3,0.8,0.5,0.4,0.7,1.5,4.3,.441,.457,.381,.481,.696,0,0
0.08,16.7,2.6,5.1,2.5,4.9,0.0,0.2,1.3,1.8,1.3,2.1,3.5,1.0,0.4,0.2,1.1,1.8,6.5,.498,.510,.200,.502,.735,0,0
0.01,11.7,1.2,2.8,1.0,2.1,0.2,0.7,1.2,1.5,0.2,0.9,1.2,2.2,0.7,0.0,1.1,1.4,3.7,.421,.472,.269,.455,.816,0,0
